# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cpu-clock'
# Event count (approx.): 14691750000
#
# Overhead  Command          Shared Object                 Symbol                                            
# ........  ...............  ............................  ..................................................
#
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x000455d1
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x00045650
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x00049100
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x00054c01
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x00058e6e
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x000591b1
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x000b3fd0
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x000b3fe0
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x000b89a2
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x000b9271
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x000bec50
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x000c034b
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x000c0372
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x000d7067
     0.00%  nemu             libX11.so.6.3.0               [.] XFlush
     0.00%  nemu             libX11.so.6.3.0               [.] XGetVisualInfo
     0.00%  nemu             libX11.so.6.3.0               [.] XkbTranslateKeyCode
     0.00%  nemu             libX11.so.6.3.0               [.] _XAllocID
     0.00%  nemu             libX11.so.6.3.0               [.] _XGetRequest
     0.00%  nemu             libX11.so.6.3.0               [.] 0x00010c80
     0.00%  nemu             libX11.so.6.3.0               [.] 0x00011690
     0.00%  nemu             libX11.so.6.3.0               [.] 0x000245a0
     0.00%  nemu             libX11.so.6.3.0               [.] 0x000245a1
     0.00%  nemu             libX11.so.6.3.0               [.] 0x00024675
     0.00%  nemu             libX11.so.6.3.0               [.] 0x00024680
     0.00%  nemu             libX11.so.6.3.0               [.] 0x00037039
     0.00%  nemu             libX11.so.6.3.0               [.] 0x00038050
     0.00%  nemu             libX11.so.6.3.0               [.] 0x00039a93
     0.00%  nemu             libXext.so.6.4.0              [.] 0x00002770
     0.00%  nemu             libc-2.23.so                  [.] __GI___setitimer
     0.00%  nemu             libc-2.23.so                  [.] __fdelt_warn
     0.00%  nemu             libc-2.23.so                  [.] __libc_enable_asynccancel
     0.00%  nemu             libc-2.23.so                  [.] __select
     0.00%  nemu             libc-2.23.so                  [.] pthread_cond_broadcast@@GLIBC_2.3.2
     0.00%  nemu             libdrm.so.2.4.0               [.] drmCommandWrite
     0.00%  nemu             libdrm.so.2.4.0               [.] drmCommandWriteRead
     0.00%  nemu             libdrm.so.2.4.0               [.] 0x00002f10
     0.00%  nemu             libglapi.so.0.0.0             [.] 0x0000458b
     0.00%  nemu             libglapi.so.0.0.0             [.] 0x00004607
     0.00%  nemu             libm-2.23.so                  [.] __floorf
     0.00%  nemu             libpthread-2.23.so            [.] pthread_cond_destroy@@GLIBC_2.3.2
     0.00%  nemu             libpthread-2.23.so            [.] pthread_cond_signal@@GLIBC_2.3.2
     0.00%  nemu             libtinfo.so.5.9               [.] 0x000076d0
     0.00%  nemu             libxcb.so.1.1.0               [.] 0x0000866e
     0.00%  nemu             libxcb.so.1.1.0               [.] 0x00008686
     0.00%  nemu             libxcb.so.1.1.0               [.] 0x000086dd
     0.00%  nemu             libxcb.so.1.1.0               [.] 0x00008bbc
     0.00%  nemu             libxcb.so.1.1.0               [.] 0x00009694
     0.00%  nemu             libxcb.so.1.1.0               [.] 0x0000a1a0
     0.00%  nemu             libxcb.so.1.1.0               [.] 0x0000aefc
     0.00%  nemu             libxcb.so.1.1.0               [.] 0x0000b496
     0.00%  nemu             libxcb.so.1.1.0               [.] 0x0000bb98
     0.00%  nemu             nemu                          [.] __moddi3
     0.00%  nemu             nemu                          [.] decode_test_I
     0.00%  nemu             nemu                          [.] exec_call_rm
     0.00%  nemu             nemu                          [.] exec_cwtl
     0.00%  nemu             nemu                          [.] exec_dec
     0.00%  nemu             nemu                          [.] exec_movsx
     0.00%  nemu             nemu                          [.] exec_nop
     0.00%  nemu             nemu                          [.] exec_setcc
     0.00%  nemu             nemu                          [.] pio_read
     0.00%  nemu             nemu                          [.] timer_sig_handler
     0.00%  nemu             nemu                          [.] update_screen
     0.00%  nemu             nemu                          [.] 0x00001090
     0.00%  nemu             vmwgfx_dri.so                 [.] flock@plt
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00033123
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00046061
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x000467f6
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x000616d0
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x000857b0
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x000ba0df
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00107d10
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00107d3f
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x001119e0
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00111c18
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00115ea0
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0016f1c0
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0016f2d4
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00174108
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0018bdaf
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0018bde5
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0018c0c0
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0018c36a
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x001a5210
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x001a8730
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x001ad8b2
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x001b387b
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x001b7af4
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x001d2f08
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x001d3320
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x001dac56
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x001dac8f
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x001f0510
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0020c460
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0020c481
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00210590
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00213a4b
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00215dc2
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x002163e5
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x002257c0
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0022c970
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00253011
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x002536af
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00254e60
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00269600
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00313382
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003c9f60
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003caf30
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003cbb7c
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003ceaaa
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003d09d9
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003d0ac9
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003fbee0
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003fc13d
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003fdc50
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003fe000
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003ffbed
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003ffdd7
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003ffdf2
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003ffdfe
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00400028
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00400032
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00427ec3
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00428090
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00428377
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0047563c
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0048d98a
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0048f17a
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0048f466
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0049ddd0
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00752080
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x007520dc
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00752237
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0075252d
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x007527eb
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00753014
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x007536e1
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00753780
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00753a65
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0075598b
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x007568e0
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00757612
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00759a07
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0075be00
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0075c3d5
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0075d187
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0075ef23
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00762c7e
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00762d30
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0076331e
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00767cb0
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0076b5a0
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0076b9b3
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0076e820
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0076e844
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0077053d
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00770be2
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00773255
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00774890


#
# (Cannot load tips.txt file, please install perf!)
#
