# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cpu-clock'
# Event count (approx.): 14691750000
#
# Overhead  Command          Shared Object                 Symbol                                            
# ........  ...............  ............................  ..................................................
#
     0.01%  gvfsd-fuse       [kernel.kallsyms]             [k] mpt_put_msg_frame
     0.01%  nemu             [kernel.kallsyms]             [k] __do_page_fault
     0.01%  nemu             [kernel.kallsyms]             [k] __fget_light
     0.01%  nemu             [kernel.kallsyms]             [k] do_select
     0.01%  nemu             [kernel.kallsyms]             [k] fsnotify
     0.01%  nemu             [kernel.kallsyms]             [k] get_signal
     0.01%  nemu             [kernel.kallsyms]             [k] ioread8_rep
     0.01%  nemu             [kernel.kallsyms]             [k] run_timer_softirq
     0.01%  nemu             [kernel.kallsyms]             [k] sys_select
     0.01%  nemu             [kernel.kallsyms]             [k] ttm_bo_add_to_lru
     0.01%  nemu             [kernel.kallsyms]             [k] vmw_validate_single_buffer
     0.01%  nemu             libX11.so.6.3.0               [.] _XimLocalFilter
     0.01%  nemu             libc-2.23.so                  [.] __memcmp_sse4_2
     0.01%  nemu             libc-2.23.so                  [.] __x86.get_pc_thunk.dx
     0.01%  nemu             libc-2.23.so                  [.] pthread_mutex_lock
     0.01%  nemu             libdrm.so.2.4.0               [.] drmIoctl
     0.01%  nemu             libpthread-2.23.so            [.] pthread_cond_broadcast@@GLIBC_2.3.2
     0.01%  nemu             libpthread-2.23.so            [.] pthread_mutex_unlock
     0.01%  nemu             libxcb.so.1.1.0               [.] xcb_writev
     0.01%  nemu             nemu                          [.] decode_O2a
     0.01%  nemu             nemu                          [.] exec_or
     0.01%  nemu             nemu                          [.] exec_pusha
     0.01%  nemu             nemu                          [.] raise_intr
     0.01%  nemu             vmwgfx_dri.so                 [.] 0x00225b20
     0.00%  dbus-daemon      [kernel.kallsyms]             [k] ext4_do_update_inode
     0.00%  dbus-daemon      [kernel.kallsyms]             [k] memcpy
     0.00%  dbus-daemon      ld-2.23.so                    [.] strchr
     0.00%  dbus-daemon      libapparmor.so.1.4.0          [.] 0x00006970
     0.00%  gdbus            libglib-2.0.so.0.4800.2       [.] 0x00044042
     0.00%  gnome-screensav  ld-2.23.so                    [.] do_lookup_x
     0.00%  gnome-screensav  libdbus-glib-1.so.2.3.3       [.] 0x000130d0
     0.00%  gvfsd            [kernel.kallsyms]             [k] handle_mm_fault
     0.00%  gvfsd            [kernel.kallsyms]             [k] wp_page_copy
     0.00%  gvfsd            ld-2.23.so                    [.] _dl_lookup_symbol_x
     0.00%  nemu             [kernel.kallsyms]             [k] _cond_resched
     0.00%  nemu             [kernel.kallsyms]             [k] apparmor_socket_recvmsg
     0.00%  nemu             [kernel.kallsyms]             [k] copy_user_to_xstate
     0.00%  nemu             [kernel.kallsyms]             [k] do_int80_syscall_32
     0.00%  nemu             [kernel.kallsyms]             [k] do_signal
     0.00%  nemu             [kernel.kallsyms]             [k] posix_get_monotonic_raw
     0.00%  nemu             [kernel.kallsyms]             [k] rcu_cblist_dequeue
     0.00%  nemu             [kernel.kallsyms]             [k] security_socket_getpeersec_dgram
     0.00%  nemu             [kernel.kallsyms]             [k] set_cpu_itimer
     0.00%  nemu             [kernel.kallsyms]             [k] sock_wfree
     0.00%  nemu             [kernel.kallsyms]             [k] ttm_base_object_init
     0.00%  nemu             [kernel.kallsyms]             [k] ttm_base_object_lookup
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_execbuf_process
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_fifo_have_3d
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_kms_cursor_post_execbuf
     0.00%  nemu             [kernel.kallsyms]             [k] vmw_resource_unreserve
     0.00%  nemu             ld-2.23.so                    [.] _dl_lookup_symbol_x
     0.00%  nemu             ld-2.23.so                    [.] strcmp
     0.00%  nemu             libGL.so.1.2.0                [.] 0x0001a092
     0.00%  nemu             libSDL2-2.0.so.0.4.0          [.] 0x00054480
     0.00%  nemu             libX11.so.6.3.0               [.] _XReply
     0.00%  nemu             libX11.so.6.3.0               [.] 0x0002469c
     0.00%  nemu             libX11.so.6.3.0               [.] 0x00039a70
     0.00%  nemu             libX11.so.6.3.0               [.] 0x00086ac0
     0.00%  nemu             libXfixes.so.3.1.0            [.] XFixesFindDisplay
     0.00%  nemu             libc-2.23.so                  [.] __libc_calloc
     0.00%  nemu             libc-2.23.so                  [.] __memmove_sse2_unaligned
     0.00%  nemu             libc-2.23.so                  [.] __memset_ia32
     0.00%  nemu             libc-2.23.so                  [.] __umoddi3@GLIBC_2.0
     0.00%  nemu             libc-2.23.so                  [.] _int_free
     0.00%  nemu             libc-2.23.so                  [.] free
     0.00%  nemu             libc-2.23.so                  [.] pthread_mutex_unlock
     0.00%  nemu             libpthread-2.23.so            [.] pthread_getspecific
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0022b4ae
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003cea70
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003ffdc2
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003ffe10
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x003fffff
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00752660
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00752eb1
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x00759690
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0075ee1d
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0076c850
     0.00%  nemu             vmwgfx_dri.so                 [.] 0x0076d5e8
     0.00%  dbus-daemon      [kernel.kallsyms]             [k] __d_lookup_rcu
     0.00%  dbus-daemon      [kernel.kallsyms]             [k] __do_page_fault
     0.00%  dbus-daemon      [kernel.kallsyms]             [k] consume_skb
     0.00%  dbus-daemon      [kernel.kallsyms]             [k] ext4_search_dir
     0.00%  dbus-daemon      [kernel.kallsyms]             [k] may_open
     0.00%  dbus-daemon      [kernel.kallsyms]             [k] memset
     0.00%  dbus-daemon      [kernel.kallsyms]             [k] mpt_put_msg_frame
     0.00%  dbus-daemon      [kernel.kallsyms]             [k] perf_event_mmap_output
     0.00%  dbus-daemon      [kernel.kallsyms]             [k] sock_poll
     0.00%  dbus-daemon      [kernel.kallsyms]             [k] unix_dgram_peer_wake_disconnect
     0.00%  dbus-daemon      dbus-daemon                   [.] 0x0000e430
     0.00%  dbus-daemon      ld-2.23.so                    [.] _dl_check_map_versions
     0.00%  dbus-daemon      ld-2.23.so                    [.] _dl_lookup_symbol_x
     0.00%  dbus-daemon      libcap-ng.so.0.0.0            [.] capng_get_caps_process
     0.00%  dbus-daemon      libdbus-1.so.3.14.6           [.] _dbus_first_type_in_signature
     0.00%  dbus-daemon      libdbus-1.so.3.14.6           [.] 0x0001810b
     0.00%  dbus-daemon      libdbus-1.so.3.14.6           [.] 0x000245e0
     0.00%  dbus-launch      [kernel.kallsyms]             [k] ext4_file_mmap
     0.00%  dbus-launch      [kernel.kallsyms]             [k] insert_inode_locked
     0.00%  dbus-launch      [kernel.kallsyms]             [k] memcpy
     0.00%  dbus-launch      [kernel.kallsyms]             [k] memset
     0.00%  dbus-launch      [kernel.kallsyms]             [k] scsi_request_fn
     0.00%  dbus-launch      dbus-launch                   [.] main
     0.00%  dbus-launch      dbus-launch                   [.] 0x00002606
     0.00%  dbus-launch      ld-2.23.so                    [.] _dl_debug_initialize
     0.00%  dbus-launch      ld-2.23.so                    [.] do_lookup_x
     0.00%  dbus-launch      ld-2.23.so                    [.] memset
     0.00%  gdbus            libglib-2.0.so.0.4800.2       [.] g_malloc
     0.00%  gmain            libglib-2.0.so.0.4800.2       [.] g_malloc
     0.00%  gnome-screensav  [kernel.kallsyms]             [k] __copy_user_ll
     0.00%  gnome-screensav  [kernel.kallsyms]             [k] __do_page_fault
     0.00%  gnome-screensav  [kernel.kallsyms]             [k] finish_task_switch
     0.00%  gnome-screensav  [kernel.kallsyms]             [k] fsnotify
     0.00%  gnome-screensav  [kernel.kallsyms]             [k] get_page_from_freelist
     0.00%  gnome-screensav  [kernel.kallsyms]             [k] kmem_cache_alloc
     0.00%  gnome-screensav  [kernel.kallsyms]             [k] memset
     0.00%  gnome-screensav  [kernel.kallsyms]             [k] mntput_no_expire
     0.00%  gnome-screensav  [kernel.kallsyms]             [k] prepend_path
     0.00%  gnome-screensav  ld-2.23.so                    [.] .L235
     0.00%  gnome-screensav  ld-2.23.so                    [.] _dl_lookup_symbol_x
     0.00%  gnome-screensav  ld-2.23.so                    [.] _dl_map_object_from_fd
     0.00%  gnome-screensav  ld-2.23.so                    [.] strcmp
     0.00%  gnome-screensav  libc-2.23.so                  [.] __memcpy_sse2_unaligned
     0.00%  gnome-screensav  libc-2.23.so                  [.] __strlen_sse2_bsf
     0.00%  gnome-screensav  libc-2.23.so                  [.] _int_free
     0.00%  gnome-screensav  libc-2.23.so                  [.] _int_malloc
     0.00%  gnome-screensav  libdbus-1.so.3.14.6           [.] 0x00021d00
     0.00%  gnome-screensav  libdbus-glib-1.so.2.3.3       [.] dbus_g_proxy_new_for_name
     0.00%  gnome-screensav  libdbus-glib-1.so.2.3.3       [.] dbus_set_g_error
     0.00%  gnome-screensav  libdbus-glib-1.so.2.3.3       [.] 0x00014320
     0.00%  gnome-screensav  libglib-2.0.so.0.4800.2       [.] g_free
     0.00%  gnome-screensav  libglib-2.0.so.0.4800.2       [.] g_hash_table_lookup
     0.00%  gnome-screensav  libglib-2.0.so.0.4800.2       [.] g_str_hash
     0.00%  gnome-screensav  libglib-2.0.so.0.4800.2       [.] 0x000188c5
     0.00%  gnome-screensav  libglib-2.0.so.0.4800.2       [.] 0x00034c12
     0.00%  gnome-screensav  libgnome-desktop-3.so.12.0.0  [.] gnome_rr_screen_new
     0.00%  gnome-screensav  libgnome-desktop-3.so.12.0.0  [.] 0x000161f0
     0.00%  gnome-screensav  libgnome-desktop-3.so.12.0.0  [.] 0x00017930
     0.00%  gnome-screensav  libgnome-desktop-3.so.12.0.0  [.] 0x00022720
     0.00%  gnome-screensav  libgtk-3.so.0.1800.9          [.] 0x00161f63
     0.00%  gnome-screensav  libgtk-3.so.0.1800.9          [.] 0x00162f52
     0.00%  gvfsd            [kernel.kallsyms]             [k] __ext4_check_dir_entry
     0.00%  gvfsd            [kernel.kallsyms]             [k] __vma_adjust
     0.00%  gvfsd            [kernel.kallsyms]             [k] copy_page_range
     0.00%  gvfsd            [kernel.kallsyms]             [k] ext4_do_update_inode
     0.00%  gvfsd            [kernel.kallsyms]             [k] hash_futex
     0.00%  gvfsd            [kernel.kallsyms]             [k] ihold
     0.00%  gvfsd            [kernel.kallsyms]             [k] memcpy
     0.00%  gvfsd            [kernel.kallsyms]             [k] memset
     0.00%  gvfsd            [kernel.kallsyms]             [k] mpt_put_msg_frame
     0.00%  gvfsd            [kernel.kallsyms]             [k] new_slab
     0.00%  gvfsd            gvfsd                         [.] 0x00003ed0
     0.00%  gvfsd            ld-2.23.so                    [.] _dl_check_map_versions
     0.00%  gvfsd            ld-2.23.so                    [.] _dl_map_object_from_fd
     0.00%  gvfsd            ld-2.23.so                    [.] _dl_next_tls_modid
     0.00%  gvfsd            ld-2.23.so                    [.] dl_main
     0.00%  gvfsd            libc-2.23.so                  [.] __strcmp_ia32
     0.00%  gvfsd            libgcr-base-3.so.1.0.0        [.] 0x00014cf0
     0.00%  gvfsd            libglib-2.0.so.0.4800.2       [.] g_str_hash
     0.00%  gvfsd            libgobject-2.0.so.0.4800.2    [.] g_param_spec_ref
     0.00%  gvfsd            libgvfscommon.so              [.] gvfs_dbus_daemon_skeleton_get_type
     0.00%  gvfsd            libgvfscommon.so              [.] gvfs_dbus_mount_tracker_complete_register_fuse
     0.00%  gvfsd            libgvfsdaemon.so              [.] g_vfs_daemon_new
     0.00%  gvfsd-fuse       [kernel.kallsyms]             [k] _raw_spin_lock
     0.00%  gvfsd-fuse       [kernel.kallsyms]             [k] down_write
     0.00%  gvfsd-fuse       [kernel.kallsyms]             [k] ext4_search_dir
     0.00%  gvfsd-fuse       [kernel.kallsyms]             [k] finish_task_switch
     0.00%  gvfsd-fuse       [kernel.kallsyms]             [k] fuse_mount
